"observation","specname","north","west","east","south","hemisphere","latitude","longitude","carp_color","spore_color","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","t_texture","drainage","ref_depth","awc_class","phase1","phase2","roots","il","swr","add_prop","t_gravel","t_sand","t_silt","t_clay","t_usda_tex_class","t_ref_bulk_density","t_bulk_density","t_oc","t_ph_h2o","t_cec_clay","t_cec_soil","t_bs","t_teb","t_caco3","t_caso4","t_esp","t_ece","s_gravel","s_sand","s_silt","s_clay","s_usda_tex_class","s_ref_bulk_density","s_bulk_density","s_oc","s_ph_h2o","s_cec_clay","s_cec_soil","s_bs","s_teb","s_caco3","s_caso4","s_esp","s_ece","FOR_2000","GRS_2000","NVG_2000","sq1","sq2","sq3","sq4","sq5","sq6","sq7","URB_2000","WAT_2000"
"1349",244481,"Amanita abrupta Peck",35.9056,78.793,78.729,35.8394,"WN",35.8725,-78.761,"white","white",151,127,38,7573,316,-18,334,247,105,247,51,1130,116,76,13,324,244,324,273,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,76.2622146606445,12.1785907745361,0,3,2,1,1,1,1,1,2.09369993209839,0
"1672",241912,"Amanita abrupta Peck",35.9056,78.793,78.729,35.8394,"WN",35.8725,-78.761,"white","white",151,127,38,7573,316,-18,334,247,105,247,51,1130,116,76,13,324,244,324,273,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,76.2622146606445,12.1785907745361,0,3,2,1,1,1,1,1,2.09369993209839,0
"3043",210542,"Amanita abrupta Peck",42.8433,80.1699,80.1287,42.8249,"WN",42.8341,-80.1493,"white","white",80,94,26,9231,263,-90,353,153,-34,195,-41,942,90,62,11,248,209,240,219,3,4,100,1,NA,NA,NA,NA,NA,0,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,0,1,0.1,12.6167268753052,7.28460597991943,0,1,1,1,1,1,1,1,2.07469987869263,1.97339987754822
"3593",206520,"Amanita abrupta Peck",33.998,83.5006,83.4902,33.984,"WN",33.991,-83.4954,"white","white",161,129,39,7218,323,-3,326,81,167,252,66,1275,140,88,14,384,269,306,347,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,53.1307411193848,8.20465660095215,0,3,2,1,1,1,1,1,31.4512004852295,0
"4895",175215,"Amanita abrupta Peck",39.1109,86.4665,86.4288,39.0773,"NN",39.0941,-86.44765,"white","white",117,120,32,8959,300,-68,368,209,-4,228,-4,1100,121,68,18,336,225,310,225,2,4,100,1,NA,NA,NA,NA,NA,0,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,0,1,0.1,86.6241226196289,8.5205774307251,0,1,1,1,1,1,1,1,2.84508538246155,1.98329997062683
"4896",175213,"Amanita abrupta Peck",39.8261,74.5513,74.5193,39.8089,"NN",39.8175,-74.5353,"white","white",117,113,32,8364,294,-53,347,217,132,223,8,1128,118,79,12,319,262,313,262,1,6,100,3,NA,NA,NA,NA,NA,0,4,85,11,4,12,1.73,1.36,2.09,4.5,98,10,16,2.5,0,0,1,0.1,5,84,11,5,12,1.7,1.51,0.59,4.8,63,4,23,1.6,0,0,2,0.1,90.3281784057617,8.88491916656494,0,3,3,1,1,1,1,1,0,0
"4898",175199,"Amanita abrupta Peck",39.1109,86.4665,86.4288,39.0773,"WN",39.0941,-86.44765,"white","white",117,120,32,8959,300,-68,368,209,-4,228,-4,1100,121,68,18,336,225,310,225,2,4,100,1,NA,NA,NA,NA,NA,0,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,0,1,0.1,86.6241226196289,8.5205774307251,0,1,1,1,1,1,1,1,2.84508538246155,1.98329997062683
"5069",172317,"Amanita abrupta Peck",42.8029,80.2302,80.1658,42.7696,"WN",42.78625,-80.198,"white","white",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,100,1,NA,NA,NA,NA,NA,0,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"5262",170542,"Amanita abrupta Peck",42.8029,80.2302,80.1658,42.7696,"WN",42.78625,-80.198,"white","white",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,100,1,NA,NA,NA,NA,NA,0,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"6362",160435,"Amanita abrupta Peck",38.0606,78.6089,78.53,37.989,"WN",38.0248,-78.56945,"white","white",131,126,35,8105,308,-43,351,225,24,233,24,1136,116,77,13,323,238,316,238,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,29.7854671478271,10.8610286712646,0,3,2,1,1,1,1,1,50.9195976257324,0
"6394",160570,"Amanita abrupta Peck",38.0606,78.6089,78.53,37.989,"WN",38.0248,-78.56945,"white","white",131,126,35,8105,308,-43,351,225,24,233,24,1136,116,77,13,323,238,316,238,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,29.7854671478271,10.8610286712646,0,3,2,1,1,1,1,1,50.9195976257324,0
"6396",150405,"Amanita abrupta Peck",38.0606,78.6089,78.53,37.989,"WN",38.0248,-78.56945,"white","white",131,126,35,8105,308,-43,351,225,24,233,24,1136,116,77,13,323,238,316,238,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,29.7854671478271,10.8610286712646,0,3,2,1,1,1,1,1,50.9195976257324,0
"6409",144054,"Amanita abrupta Peck",42.6973,80.3372,80.3219,42.6651,"WN",42.6812,-80.32955,"white","white",82,94,26,9184,265,-88,353,155,-31,197,-39,959,91,62,11,254,209,245,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3794801235199,1.76195812225342,0,7,7,7,7,7,7,7,2.08200001716614,75.9804000854492
"6500",143342,"Amanita abrupta Peck",41.2392,75.8184,75.8077,41.2275,"WN",41.23335,-75.81305,"white","white",79,112,30,8857,263,-99,362,169,-28,189,-39,1074,108,65,16,320,209,314,210,2,4,100,1,8,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,89.7522354125977,8.8282642364502,0,2,1,1,2,1,1,1,1.38940024375916,0
"6547",143569,"Amanita abrupta Peck",42.0629,78.7167,78.6276,41.9993,"WN",42.0311,-78.67215,"white","white",62,119,32,8855,250,-119,369,171,-47,171,-57,1147,126,66,17,338,217,338,231,2,4,100,1,8,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,90.9170608520508,8.94283962249756,0,2,2,1,1,1,1,1,0.130115702748299,0
"6838",160430,"Amanita abrupta Peck",38.0606,78.6089,78.53,37.989,"WN",38.0248,-78.56945,"white","white",131,126,35,8105,308,-43,351,225,24,233,24,1136,116,77,13,323,238,316,238,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,29.7854671478271,10.8610286712646,0,3,2,1,1,1,1,1,50.9195976257324,0
"6907",139403,"Amanita abrupta Peck",42.8029,80.2302,80.1658,42.7696,"WN",42.78625,-80.198,"white","white",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,100,1,NA,NA,NA,NA,NA,0,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"7918",112858,"Amanita abrupta Peck",41.4036,76.2812,76.2774,41.3938,"WN",41.3987,-76.2793,"white","white",67,108,30,8788,248,-108,356,156,-50,176,-50,1031,111,60,19,319,191,307,191,2,4,100,1,NA,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,90.9188766479492,8.94302368164062,0,2,2,1,1,1,1,1,0.111439980566502,0
"8143",110427,"Amanita abrupta Peck",39.2076,86.5305,86.5071,39.1945,"WN",39.20105,-86.5188,"white","white",116,118,31,9058,300,-70,370,209,-7,228,-7,1103,121,67,18,338,222,313,222,2,4,100,1,NA,NA,NA,NA,NA,0,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,0,1,0.1,54.5676498413086,5.53480625152588,0,1,1,2,1,1,1,2,25.0531005859375,0
"8349",108104,"Amanita abrupta Peck",42.8029,80.2302,80.1658,42.7696,"WN",42.78625,-80.198,"white","white",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,100,1,NA,NA,NA,NA,NA,0,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"8387",107846,"Amanita abrupta Peck",39.2076,86.5305,86.5071,39.1945,"WN",39.20105,-86.5188,"white","white",116,118,31,9058,300,-70,370,209,-7,228,-7,1103,121,67,18,338,222,313,222,2,4,100,1,NA,NA,NA,NA,NA,0,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,0,1,0.1,54.5676498413086,5.53480625152588,0,1,1,2,1,1,1,2,25.0531005859375,0
"8536",106593,"Amanita abrupta Peck",38.5327,78.155,78.1463,38.5265,"WN",38.5296,-78.15065,"white","white",124,133,36,8258,304,-59,363,208,13,227,13,1062,103,69,13,300,214,300,214,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,58.6909523010254,26.4375152587891,0,3,2,1,1,1,1,1,1.1201000213623,0
"8617",105622,"Amanita abrupta Peck",40.5762,79.9258,79.8965,40.5594,"WN",40.5678,-79.91115,"white","white",98,123,33,8814,285,-85,370,187,-21,207,-21,996,104,61,16,304,202,294,202,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,59.7009963989258,5.81740283966064,0,3,2,1,1,1,1,1,21.5965003967285,0
"9823",86432,"Amanita abrupta Peck",38.5327,78.155,78.1463,38.5265,"WN",38.5296,-78.15065,"white","white",124,133,36,8258,304,-59,363,208,13,227,13,1062,103,69,13,300,214,300,214,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,58.6909523010254,26.4375152587891,0,3,2,1,1,1,1,1,1.1201000213623,0
"10130",82043,"Amanita abrupta Peck",41.2251,79.3961,79.3637,41.196,"WN",41.21055,-79.3799,"white","white",82,126,33,8926,274,-103,377,172,-39,192,-39,1128,122,65,17,343,220,343,220,2,4,100,1,NA,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,63.3617706298828,5.57930994033813,0,3,2,1,1,1,1,1,6.51510000228882,0
"10220",71721,"Amanita abrupta Peck",39.2076,86.5305,86.5071,39.1945,"WN",39.20105,-86.5188,"white","white",116,118,31,9058,300,-70,370,209,-7,228,-7,1103,121,67,18,338,222,313,222,2,4,100,1,NA,NA,NA,NA,NA,0,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,0,1,0.1,54.5676498413086,5.53480625152588,0,1,1,2,1,1,1,2,25.0531005859375,0
"11369",51196,"Amanita abrupta Peck",42.8029,80.2302,80.1658,42.7696,"WN",42.78625,-80.198,"white","white",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,100,1,NA,NA,NA,NA,NA,0,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"11582",49404,"Amanita abrupta Peck",42.8029,80.2302,80.1658,42.7696,"WN",42.78625,-80.198,"white","white",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,100,1,NA,NA,NA,NA,NA,0,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"11622",48891,"Amanita abrupta Peck",42.8029,80.2302,80.1658,42.7696,"WN",42.78625,-80.198,"white","white",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,100,1,NA,NA,NA,NA,NA,0,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"11633",49795,"Amanita abrupta Peck",42.8029,80.2302,80.1658,42.7696,"WN",42.78625,-80.198,"white","white",82,93,26,9173,263,-87,350,155,-31,196,-39,950,91,63,11,249,212,240,222,3,4,100,1,NA,NA,NA,NA,NA,0,4,56,22,22,10,1.42,1.34,1.11,6.4,36,22,87,18.4,0,0,1,0.1,8,48,20,32,10,1.35,1.38,0.54,6.7,37,21,92,21,0,0,1,0.1,8.81078243255615,4.68933868408203,0,1,1,1,1,1,1,1,1.28979992866516,37.9752998352051
"12482",26187,"Amanita abrupta Peck",35.844,82.151,82.0782,35.7822,"WN",35.8131,-82.1146,"white","white",118,135,40,7129,279,-51,330,115,38,207,23,1360,134,98,9,370,305,358,307,2,4,100,4,1,NA,NA,NA,NA,0,10,49,27,24,10,1.4,1.4,1,4.6,16,7,44,3.5,0,0,1,0.1,10,40,24,36,5,1.32,1.4,0.42,4.8,14,6,32,2.3,0,0,2,0.1,60.4218559265137,27.0045909881592,0,2,2,2,1,1,1,2,0.425485730171204,0
"12914",22813,"Amanita abrupta Peck",39.3784,82.072,82.0068,39.3274,"WN",39.3529,-82.0394,"white","white",110,128,34,8638,292,-75,367,198,-7,217,-7,1027,113,65,17,310,209,305,209,2,4,100,1,NA,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,89.8918075561523,8.84199237823486,0,2,2,1,1,1,1,1,1.24795579910278,0
"13490",9764,"Amanita abrupta Peck",38.2143,80.9455,80.9286,38.1974,"WN",38.20585,-80.93705,"white","white",109,131,37,8018,281,-70,351,208,0,208,0,1171,132,78,15,348,250,348,250,2,4,100,1,NA,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,73.1218872070312,19.1574230194092,0,2,2,1,1,1,1,1,0.830946683883667,0
"1277",245405,"Amanita aestivalis Singer ex Singer",40.8107,76.0411,75.9883,40.7835,"WN",40.7971,-76.0147,"white","",86,113,31,8777,270,-91,361,175,-19,196,-31,1212,121,78,13,351,251,336,256,2,4,100,1,NA,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,88.8389129638672,8.6865873336792,0,2,2,1,1,1,1,1,1.0576000213623,0
"1437",244091,"Amanita aestivalis Singer ex Singer",41.2392,75.8184,75.8077,41.2275,"WN",41.23335,-75.81305,"white","",79,112,30,8857,263,-99,362,169,-28,189,-39,1074,108,65,16,320,209,314,210,2,4,100,1,8,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,89.7522354125977,8.8282642364502,0,2,1,1,2,1,1,1,1.38940024375916,0
"2850",213040,"Amanita aestivalis Singer ex Singer",41.2907,76.0778,76.0419,41.2651,"WN",41.2779,-76.05985,"white","",84,114,31,8853,270,-94,364,174,-23,194,-34,1014,106,60,18,310,192,302,192,2,4,100,1,8,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,88.4782485961914,8.70295143127441,0,2,1,1,1,1,1,1,2.64796590805054,0
"2948",268430,"Amanita aestivalis Singer ex Singer",46.8186,90.8355,90.8092,46.8035,"WN",46.81105,-90.82235,"white","",46,115,26,10560,257,-170,427,169,-98,175,-98,804,104,23,38,293,101,289,101,1,6,100,3,NA,NA,NA,NA,NA,0,4,85,11,4,12,1.73,1.36,2.09,4.5,98,10,16,2.5,0,0,1,0.1,5,84,11,5,12,1.7,1.51,0.59,4.8,63,4,23,1.6,0,0,2,0.1,12.1376647949219,1.18331098556519,0,7,7,7,7,7,7,7,0.442299991846085,85.6126937866211
"2971",211552,"Amanita aestivalis Singer ex Singer",40.052,77.2775,77.2455,40.0349,"WN",40.04345,-77.2615,"white","",101,112,31,8829,285,-74,359,148,-16,212,-16,1077,105,74,11,302,232,285,232,2,4,100,1,NA,NA,NA,NA,NA,0,9,47,29,24,9,1.39,1.54,0.86,6.4,38,12,89,10,0,0,1,0.1,8,39,27,34,5,1.33,1.52,0.38,6.3,40,15,93,12.3,0,0,1,0.1,89.4660034179688,8.77069664001465,0,2,2,1,1,1,1,1,1.10389995574951,0
"2988",211621,"Amanita aestivalis Singer ex Singer",41.4465,75.2926,75.2606,41.4298,"WN",41.43815,-75.2766,"white","",74,119,31,8912,259,-113,372,163,-34,184,-46,1084,109,71,13,311,226,299,228,2,4,100,1,8,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,86.2851638793945,8.48723602294922,0,2,1,1,2,1,1,1,1.26698446273804,3.92379999160767
"2989",211525,"Amanita aestivalis Singer ex Singer",41.4465,75.2926,75.2606,41.4298,"WN",41.43815,-75.2766,"white","",74,119,31,8912,259,-113,372,163,-34,184,-46,1084,109,71,13,311,226,299,228,2,4,100,1,8,NA,NA,NA,NA,0,10,41,39,20,9,1.41,1.3,1.45,5.1,30,12,37,4.1,0,0,1,0.1,20,45,35,20,9,1.42,1.37,0.5,5.2,36,9,33,2.6,0,0,1,0.1,86.2851638793945,8.48723602294922,0,2,1,1,2,1,1,1,1.26698446273804,3.92379999160767
